engine_id,cycle,op_setting_1,op_setting_2,op_setting_3,sensor_measurement_2,sensor_measurement_3,sensor_measurement_4,sensor_measurement_6,sensor_measurement_7,sensor_measurement_8,sensor_measurement_9,sensor_measurement_11,sensor_measurement_12,sensor_measurement_13,sensor_measurement_14,sensor_measurement_15,sensor_measurement_16,sensor_measurement_17,sensor_measurement_18,sensor_measurement_19,sensor_measurement_20,sensor_measurement_21,RUL,sensor_measurement_2_ma,sensor_measurement_2_ema,sensor_measurement_2_diff,sensor_measurement_2_z
50,68,0.0006,0.0,100.0,642.52,1585.26,1402.78,21.61,553.42,2388.08,9057.66,47.19,521.31,2388.02,8152.22,8.4391,0.03,395,2388,100.0,38.91,23.327,130,642.408,642.46252611457,-0.0299999999999727,-0.3218406051250815
34,41,0.0001,0.0003,100.0,641.78,1588.06,1400.25,21.61,553.73,2388.02,9055.12,47.34,521.72,2388.08,8139.01,8.4212,0.03,392,2388,100.0,39.09,23.2734,154,642.5219999999999,642.3830240894265,-0.9400000000000546,-1.8017188083793207
14,59,0.002,0.0004,100.0,642.87,1594.25,1404.47,21.61,553.36,2388.15,9060.36,47.62,521.49,2388.08,8141.52,8.4507,0.03,393,2388,100.0,38.85,23.2976,121,642.8979999999999,642.9539756345388,-0.3700000000000045,0.3781017883060144
61,90,0.0011,-0.0003,100.0,642.21,1587.9,1404.52,21.61,555.15,2388.03,9058.38,47.21,522.01,2388.07,8142.93,8.3782,0.03,393,2388,100.0,39.11,23.3875,95,642.324,642.2502925587185,-0.0499999999999545,-0.9417895821639028
54,81,0.0005,-0.0001,100.0,641.95,1581.03,1394.95,21.61,554.35,2387.98,9062.77,47.06,522.12,2387.98,8144.58,8.4259,0.03,389,2388,100.0,39.05,23.5036,176,642.138,642.160481421334,-0.6599999999999682,-1.4617467887126652
31,104,0.0035,-0.0002,100.0,642.0,1582.16,1397.98,21.61,555.12,2388.01,9059.97,47.23,522.18,2388.0,8137.13,8.4324,0.03,390,2388,100.0,38.88,23.3485,130,642.076,642.1032878201447,-0.1799999999999499,-1.361755018222606
6,29,0.0036,-0.0003,100.0,642.02,1587.92,1411.63,21.61,552.83,2388.18,9045.71,47.36,521.17,2388.1,8120.58,8.414,0.03,393,2388,100.0,38.88,23.1688,159,642.6800000000001,642.5325476935318,-0.6599999999999682,-1.3217583100265824
45,130,0.0015,0.0002,100.0,642.48,1589.37,1407.96,21.61,553.14,2388.12,9082.35,47.71,520.86,2388.1,8158.1,8.4442,0.03,394,2388,100.0,38.6,23.1769,28,642.812,642.7639586571562,-0.92999999999995,-0.4018340215171289
95,252,0.0019,-0.0,100.0,643.16,1598.05,1418.2,21.61,552.4,2388.11,9099.3,47.72,520.94,2388.13,8170.6,8.4655,0.03,394,2388,100.0,38.81,23.2585,31,643.266,643.2959479498318,-0.57000000000005,0.958054057148812
44,147,-0.0007,0.0002,100.0,642.9,1591.72,1406.77,21.61,553.38,2388.04,9066.38,47.54,521.68,2388.14,8150.1,8.4557,0.03,392,2388,100.0,38.92,23.3031,45,642.6659999999999,642.7428817208394,-0.1499999999999772,0.4380968506000499
89,43,0.0023,-0.0001,100.0,642.35,1590.77,1403.31,21.61,554.79,2388.04,9049.42,47.17,522.1,2388.04,8130.98,8.4158,0.03,392,2388,100.0,38.92,23.3281,174,642.1179999999999,642.1809124047799,0.2400000000000091,-0.6618126247915099
93,32,0.0023,-0.0002,100.0,642.21,1592.82,1405.31,21.61,554.2,2388.08,9064.25,47.15,522.56,2387.99,8141.95,8.4177,0.03,391,2388,100.0,39.1,23.3063,123,642.2139999999999,642.2702570023046,-0.2400000000000091,-0.9417895821639028
86,256,0.0004,-0.0002,100.0,643.35,1597.27,1425.0,21.61,552.34,2388.2,9082.42,48.07,520.59,2388.2,8145.49,8.4506,0.03,396,2388,100.0,38.48,23.1794,22,643.346,643.3183022227813,0.1200000000000045,1.3380227850114914
14,130,0.0022,0.0,100.0,643.15,1600.91,1409.68,21.61,552.84,2388.15,9076.05,47.6,520.45,2388.15,8151.09,8.4677,0.03,394,2388,100.0,38.74,23.1728,50,643.052,643.115821196435,-0.32000000000005,0.9380557030508002
67,71,0.0005,0.0005,100.0,642.71,1590.43,1404.46,21.61,554.25,2388.04,9065.41,47.25,521.98,2388.05,8151.44,8.4377,0.03,392,2388,100.0,38.84,23.2443,242,642.35,642.4348276376988,0.2100000000000363,0.0581281227375978
24,11,-0.0029,-0.0003,100.0,642.58,1586.85,1398.8,21.61,554.66,2388.03,9064.46,47.33,522.34,2388.05,8142.67,8.3771,0.03,392,2388,100.0,38.98,23.3489,136,642.414,642.4474640398787,0.2200000000000272,-0.2018504805367832
3,116,0.0008,0.0002,100.0,642.62,1591.56,1407.84,21.61,553.54,2388.06,9068.22,47.36,521.91,2387.99,8145.08,8.4083,0.03,392,2388,100.0,38.77,23.4147,63,642.49,642.4847092757495,0.3999999999999772,-0.1218570641447359
64,23,0.0006,-0.0004,100.0,643.49,1590.75,1404.34,21.61,553.52,2388.11,9058.45,47.47,522.13,2388.04,8133.45,8.4454,0.03,391,2388,100.0,39.0,23.3449,260,642.7819999999999,642.8458364168159,1.1299999999999957,1.6179997423838843
67,268,0.0008,0.0002,100.0,643.91,1599.06,1415.13,21.61,552.79,2388.17,9070.05,47.89,520.44,2388.15,8148.82,8.5148,0.03,394,2388,100.0,38.71,23.1268,45,643.302,643.4547252411686,0.5199999999999818,2.457930614501063
25,214,-0.0003,-0.0002,100.0,642.84,1603.02,1426.38,21.61,551.47,2388.1,9117.02,47.9,520.29,2388.13,8182.51,8.5107,0.03,396,2388,100.0,38.7,23.1234,16,643.2259999999999,643.1582319911859,-0.3299999999999272,0.3181067260119789
85,172,-0.0002,-0.0005,100.0,643.44,1597.6,1419.92,21.61,551.46,2388.18,9059.89,48.05,519.97,2388.24,8134.38,8.4852,0.03,395,2388,100.0,38.51,23.0902,16,643.356,643.2786914831174,0.5900000000000318,1.5180079718938253
68,5,-0.0009,0.0005,100.0,642.84,1589.79,1401.77,21.61,554.16,2388.08,9056.63,47.42,521.91,2388.03,8143.1,8.4644,0.03,394,2388,100.0,38.86,23.3894,194,642.494,642.6804862576515,0.6100000000000136,0.3181067260119789
31,172,0.0011,-0.0003,100.0,643.03,1582.03,1411.49,21.61,553.87,2388.12,9060.76,47.7,521.34,2388.11,8131.87,8.4785,0.03,393,2388,100.0,38.89,23.2834,62,642.576,642.6441361104964,0.6899999999999409,0.6980754538744309
26,2,-0.0006,0.0,100.0,642.41,1589.84,1405.51,21.61,553.11,2388.13,9041.49,47.44,521.09,2388.14,8125.07,8.4626,0.03,392,2388,100.0,38.76,23.2642,197,643.144,642.9845015925246,-0.0900000000000318,-0.541822500203439
57,43,-0.0044,-0.0004,100.0,641.59,1586.15,1406.06,21.61,553.52,2388.12,9049.8,47.34,521.5,2388.06,8125.71,8.3896,0.03,394,2388,100.0,38.79,23.2991,94,642.0559999999999,642.0325530286591,-0.9499999999999318,-2.181687536241773
59,193,0.002,0.0001,100.0,642.73,1599.8,1408.93,21.61,553.0,2388.17,9062.05,47.55,520.53,2388.15,8140.35,8.4864,0.03,395,2388,100.0,38.73,23.2154,38,642.8100000000001,642.8419115540914,-0.0900000000000318,0.0981248309336214
63,72,0.0012,0.0002,100.0,642.37,1593.96,1409.63,21.61,553.82,2388.07,9060.16,47.55,521.63,2388.08,8140.26,8.4078,0.03,393,2388,100.0,38.84,23.3882,102,642.51,642.4906998090834,-0.0299999999999727,-0.6218159165954863
84,7,-0.0026,-0.0,100.0,643.18,1592.68,1406.51,21.61,553.42,2388.09,9052.31,47.65,521.54,2388.13,8124.68,8.4577,0.03,393,2388,100.0,38.79,23.3591,260,642.792,642.931256501915,0.7799999999999727,0.9980507653448356
100,184,0.0027,-0.0004,100.0,642.91,1598.88,1420.89,21.61,551.72,2388.25,9064.14,47.98,520.05,2388.2,8142.28,8.4989,0.03,396,2388,100.0,38.44,23.1229,16,643.332,643.208982635272,-0.4300000000000636,0.4580952046980617
62,124,-0.0033,-0.0002,100.0,643.28,1595.49,1415.36,21.61,552.12,2388.18,9061.61,47.76,520.86,2388.16,8127.4,8.4633,0.03,394,2388,100.0,38.79,23.2333,56,642.9639999999999,643.045347430261,0.2300000000000182,1.1980343063251813
98,21,-0.0024,0.0001,100.0,642.04,1580.39,1391.4,21.61,554.69,2387.95,9061.52,47.04,522.32,2388.04,8145.39,8.4007,0.03,391,2388,100.0,39.04,23.4487,135,642.2239999999999,642.2283207391562,-0.5,-1.2817616018305589
73,8,0.004,-0.0,100.0,642.54,1586.11,1402.54,21.61,553.86,2388.14,9035.87,47.69,520.85,2388.1,8122.84,8.4295,0.03,393,2388,100.0,38.94,23.1835,205,642.772,642.6929523994936,0.0699999999999363,-0.2818438969290579
57,2,0.0038,-0.0,100.0,641.94,1586.18,1397.07,21.61,553.94,2388.05,9048.85,47.2,521.82,2388.05,8135.12,8.4227,0.03,393,2388,100.0,38.94,23.368,135,643.1379999999999,642.874171840208,-0.6999999999999318,-1.481745142810677
26,132,-0.0001,-0.0003,100.0,642.71,1597.23,1413.3,21.61,552.95,2388.12,9065.65,47.63,521.18,2388.09,8140.92,8.4666,0.03,394,2388,100.0,38.65,23.2512,67,642.876,642.8220409989751,-0.1499999999999772,0.0581281227375978
31,151,-0.0016,-0.0004,100.0,642.21,1587.25,1405.01,21.6,552.81,2388.08,9056.44,47.35,521.8,2388.06,8136.21,8.4409,0.03,394,2388,100.0,38.76,23.3454,83,642.4399999999999,642.3950282518243,-0.3600000000000136,-0.9417895821639028
80,91,-0.0034,-0.0004,100.0,642.78,1592.97,1411.32,21.61,553.26,2388.11,9055.87,47.58,521.31,2388.09,8140.47,8.4818,0.03,392,2388,100.0,38.86,23.3404,94,642.7539999999999,642.7744477687123,-0.0199999999999818,0.1981166014236806
88,160,-0.0018,0.0001,100.0,642.34,1593.04,1411.41,21.61,553.12,2388.09,9091.29,47.5,521.66,2388.07,8168.11,8.4199,0.03,394,2388,100.0,38.73,23.3061,53,642.578,642.613655672309,-0.5599999999999454,-0.6818109788895218
64,189,0.0001,0.0001,100.0,643.15,1592.75,1410.45,21.61,552.52,2388.1,9073.63,47.55,521.21,2388.1,8144.35,8.4189,0.03,394,2388,100.0,38.88,23.1601,94,642.8779999999999,642.8578092862967,0.6000000000000227,0.9380557030508002
64,40,0.0005,-0.0,100.0,642.57,1591.54,1401.89,21.61,554.0,2388.08,9059.23,47.3,521.5,2388.08,8135.61,8.4176,0.03,392,2388,100.0,38.86,23.3505,243,642.394,642.4884986081429,0.07000000000005,-0.2218488346347951
68,107,-0.0028,-0.0001,100.0,642.62,1593.35,1407.06,21.61,553.25,2388.1,9078.71,47.53,521.2,2388.05,8149.4,8.4209,0.03,393,2388,100.0,38.76,23.3199,92,642.742,642.6796324795112,-0.1899999999999408,-0.1218570641447359
50,189,0.0018,-0.0004,100.0,643.22,1604.68,1423.37,21.61,551.48,2388.19,9119.31,48.02,519.77,2388.22,8188.29,8.4782,0.03,397,2388,100.0,38.3,23.0607,9,643.424,643.3914069580437,-0.3700000000000045,1.0780441817371105
72,113,0.0003,0.0004,100.0,642.34,1589.81,1409.84,21.61,553.82,2388.04,9046.18,47.56,521.56,2388.05,8128.18,8.3946,0.03,393,2388,100.0,38.83,23.3812,100,642.232,642.3195907400473,0.3100000000000591,-0.6818109788895218
35,155,0.0012,-0.0004,100.0,643.5,1600.73,1418.48,21.61,552.35,2388.17,9077.12,48.11,520.31,2388.16,8151.14,8.4748,0.03,395,2388,100.0,38.48,23.1946,26,643.28,643.2365888387299,0.6299999999999955,1.6379980964818963
